sample_id,requested_prompt_len,actual_prompt_len,prompt_len_for_model,output_len,success,ttft_ms,latency_ms,output_tokens,generated_chars,error
1,512,512,512,1,True,739.7295790724456,739.7291390225291,1,2,
2,512,512,512,1,True,735.7121868990362,735.7118967920542,1,2,
3,512,512,512,1,True,750.000175088644,749.999875202775,1,2,
4,512,512,512,1,True,749.429234303534,749.428934417665,1,2,
5,512,512,512,1,True,728.9682063274086,728.9679362438619,1,2,
6,1024,1024,1024,1,True,737.0096319355071,737.0093921199441,1,2,
7,1024,1024,1024,1,True,725.3222041763365,725.321773905307,1,2,
8,1024,1024,1024,1,True,726.1530407704413,726.1527408845723,1,2,
9,1024,1024,1024,1,True,733.2811946980655,733.2809548825026,1,2,
10,1024,1024,1024,1,True,725.7257546298206,725.7254547439516,1,2,
11,2048,2048,2048,1,True,758.7161529809237,758.7157730013132,1,2,
12,2048,2048,2048,1,True,726.6967869363725,726.6964167356491,1,2,
13,2048,2048,2048,1,True,739.6847358904779,739.6844057366252,1,2,
14,2048,2048,2048,1,True,753.9103520102799,753.9099920541048,1,2,
15,2048,2048,2048,1,True,751.2445482425392,751.2442781589925,1,2,
16,4096,4096,4096,1,True,822.0702800899744,822.0700300298631,1,2,
17,4096,4096,4096,1,True,830.7563909329474,830.756061244756,1,2,
18,4096,4096,4096,1,True,809.3979340046644,809.3976341187954,1,2,
19,4096,4096,4096,1,True,805.4271736182272,805.4267140105367,1,2,
20,4096,4096,4096,1,True,787.9424719139934,787.9421622492373,1,2,
21,8192,8192,8192,1,True,988.6094080284238,988.6089777573943,1,2,
22,8192,8192,8192,1,True,981.9188937544823,981.9186739623547,1,2,
23,8192,8192,8192,1,True,974.7479553334415,974.7477252967656,1,2,
24,8192,8192,8192,1,True,977.9184218496084,977.9181317426264,1,2,
25,8192,8192,8192,1,True,991.2271918728948,991.2269720807672,1,2,
