sample_id,concurrency_level,requested_prompt_len,actual_prompt_len,prompt_len_for_model,output_len,success,ttft_ms,latency_ms,output_tokens,generated_chars,error
1,1,512,512,512,1,True,658.1670376472175,658.1666278652847,1,2,
2,1,512,512,512,1,True,651.4911130070686,651.4907730743289,1,2,
3,1,512,512,512,1,True,664.9701162241399,664.9699360132217,1,2,
4,1,512,512,512,1,True,666.4097555913031,666.4094156585634,1,2,
5,1,512,512,512,1,True,655.3937969729304,655.3934873081744,1,2,
6,1,1024,1024,1024,1,True,684.098563157022,684.098282828927,1,2,
7,1,1024,1024,1024,1,True,659.7502529621124,659.7499628551304,1,2,
8,1,1024,1024,1024,1,True,653.3731897361577,653.3728796057403,1,2,
9,1,1024,1024,1024,1,True,657.9705849289894,657.9703749157488,1,2,
10,1,1024,1024,1024,1,True,652.0352740772069,652.0350640639663,1,2,
11,1,2048,2048,2048,1,True,689.8488323204219,689.848612062633,1,2,
12,1,2048,2048,2048,1,True,676.1613679118454,676.1610177345574,1,2,
13,1,2048,2048,2048,1,True,680.2653316408396,680.2650918252766,1,2,
14,1,2048,2048,2048,1,True,686.1927448771894,686.1924850381911,1,2,
15,1,2048,2048,2048,1,True,683.3838899619877,683.3835900761187,1,2,
16,1,4096,4096,4096,1,True,750.8030706085265,750.8028410375118,1,2,
17,1,4096,4096,4096,1,True,750.7206508889794,750.7204310968518,1,2,
18,1,4096,4096,4096,1,True,735.4753287509084,735.4750786907971,1,2,
19,1,4096,4096,4096,1,True,740.3658982366323,740.365638397634,1,2,
20,1,4096,4096,4096,1,True,734.9845189601183,734.9839489907026,1,2,
21,1,8192,8192,8192,1,True,930.6666608899832,930.6664010509849,1,2,
22,1,8192,8192,8192,1,True,939.2280513420701,939.2278213053942,1,2,
23,1,8192,8192,8192,1,True,934.1870653443038,934.1867752373219,1,2,
24,1,8192,8192,8192,1,True,939.5701671019197,939.5699268206954,1,2,
25,1,8192,8192,8192,1,True,934.2371998354793,934.237000066787,1,2,
26,2,512,512,512,1,True,1059.270908124745,1059.270618017763,1,2,
27,2,512,512,512,1,True,659.3031147494912,659.3028549104929,1,2,
28,2,512,512,512,1,True,818.997940979898,818.9976708963513,1,2,
29,2,512,512,512,1,True,833.237879909575,833.2376098260283,1,2,
30,2,512,512,512,1,True,801.0996947996318,801.0994549840689,1,2,
31,2,1024,1024,1024,1,True,812.4341079965234,812.4338081106544,1,2,
32,2,1024,1024,1024,1,True,819.3833068944514,819.3830666132271,1,2,
33,2,1024,1024,1024,1,True,815.439925994724,815.4397159814835,1,2,
34,2,1024,1024,1024,1,True,828.7334903143346,828.7332500331104,1,2,
35,2,1024,1024,1024,1,True,818.275363650173,818.2750940322876,1,2,
36,2,2048,2048,2048,1,True,842.0117851346731,842.0115150511265,1,2,
37,2,2048,2048,2048,1,True,863.983565941453,863.9832860790193,1,2,
38,2,2048,2048,2048,1,True,850.6437428295612,850.6435127928853,1,2,
39,2,2048,2048,2048,1,True,852.1345932967961,852.1343329921365,1,2,
40,2,2048,2048,2048,1,True,856.5892078913748,856.5889480523765,1,2,
41,2,4096,4096,4096,1,True,907.8777208924294,907.8774708323181,1,2,
42,2,4096,4096,4096,1,True,950.579937081784,950.5796968005598,1,2,
43,2,4096,4096,4096,1,True,938.6875727213919,938.6873529292643,1,2,
44,2,4096,4096,4096,1,True,944.5342957042158,944.5339660160244,1,2,
45,2,4096,4096,4096,1,True,937.7275388687849,937.7272389829159,1,2,
46,2,8192,8192,8192,1,True,1125.4425742663443,1125.4423139616847,1,2,
47,2,8192,8192,8192,1,True,1308.3675121888518,1308.3670623600483,1,2,
48,2,8192,8192,8192,1,True,1303.8380700163543,1303.8377803750336,1,2,
49,2,8192,8192,8192,1,True,1316.1200489848852,1316.1197886802256,1,2,
50,2,8192,8192,8192,1,True,1292.2887704335153,1292.288470081985,1,2,
51,4,512,512,512,1,True,1085.7778452336788,1085.7775849290192,1,2,
52,4,512,512,512,1,True,658.1853581592441,658.1851481460035,1,2,
53,4,512,512,512,1,True,1306.4418020658195,1306.4415217377245,1,2,
54,4,512,512,512,1,True,1305.054344702512,1305.054044816643,1,2,
55,4,512,512,512,1,True,872.4936111830175,872.4933010526001,1,2,
56,4,1024,1024,1024,1,True,837.6571102999151,837.6568900421262,1,2,
57,4,1024,1024,1024,1,True,1277.4283159524202,1277.4280761368573,1,2,
58,4,1024,1024,1024,1,True,1276.824823115021,1276.8245530314744,1,2,
59,4,1024,1024,1024,1,True,835.4495982639492,835.4492378421128,1,2,
60,4,1024,1024,1024,1,True,885.6119364500046,885.6116863898933,1,2,
61,4,2048,2048,2048,1,True,836.3783950917423,836.378145031631,1,2,
62,4,2048,2048,2048,1,True,1347.908578813076,1347.9083487764,1,2,
63,4,2048,2048,2048,1,True,1128.386237192899,1128.3859671093524,1,2,
64,4,2048,2048,2048,1,True,1123.3604410663247,1123.360091354698,1,2,
65,4,2048,2048,2048,1,True,957.8160271048546,957.8157970681787,1,2,
66,4,4096,4096,4096,1,True,897.2048442810774,897.2045043483377,1,2,
67,4,4096,4096,4096,1,True,1502.628748305142,1502.6284782215953,1,2,
68,4,4096,4096,4096,1,True,1725.8228408172727,1725.8225311525166,1,2,
69,4,4096,4096,4096,1,True,1498.4796568751335,1498.4794571064413,1,2,
70,4,4096,4096,4096,1,True,1276.5317908488214,1276.5315906144679,1,2,
71,4,8192,8192,8192,1,True,2209.3760119751096,2209.375732112676,1,2,
72,4,8192,8192,8192,1,True,2607.9500168561935,2607.949757017195,1,2,
73,4,8192,8192,8192,1,True,2607.657754793763,2607.6575247570872,1,2,
74,4,8192,8192,8192,1,True,2380.2233594469726,2380.2231294102967,1,2,
75,4,8192,8192,8192,1,True,934.8247698508203,934.8245696164668,1,2,
76,8,512,512,512,1,True,1168.1316229514778,1168.1313528679311,1,2,
77,8,512,512,512,1,True,1396.4452571235597,1396.4450270868838,1,2,
78,8,512,512,512,1,True,666.7924989014864,666.7922590859234,1,2,
79,8,512,512,512,1,True,1616.6106057353318,1616.6103756986558,1,2,
80,8,512,512,512,1,True,1396.6514789499342,1396.6512489132583,1,2,
81,8,1024,1024,1024,1,True,1395.75560297817,1395.755363162607,1,2,
82,8,1024,1024,1024,1,True,1614.3691940233111,1614.3689439631999,1,2,
83,8,1024,1024,1024,1,True,1614.3706240691245,1614.3703940324485,1,2,
84,8,1024,1024,1024,1,True,1165.2443800121546,1165.2441499754786,1,2,
85,8,1024,1024,1024,1,True,890.6143698841333,890.6140998005867,1,2,
86,8,2048,2048,2048,1,True,1989.939120132476,1989.9389003403485,1,2,
87,8,2048,2048,2048,1,True,1989.336356986314,1989.336117170751,1,2,
88,8,2048,2048,2048,1,True,1989.141465164721,1989.1412551514804,1,2,
89,8,2048,2048,2048,1,True,1770.5338951200247,1770.533685106784,1,2,
90,8,2048,2048,2048,1,True,1769.657420925796,1769.6572006680071,1,2,
91,8,4096,4096,4096,1,True,1768.1853831745684,1768.1851731613278,1,2,
92,8,4096,4096,4096,1,True,964.6116918884218,964.6114017814398,1,2,
93,8,4096,4096,4096,1,True,1088.2498971186578,1088.2496470585465,1,2,
94,8,4096,4096,4096,1,True,810.4217001236975,810.4214202612638,1,2,
95,8,4096,4096,4096,1,True,850.9409450925887,850.9407350793481,1,2,
96,8,8192,8192,8192,1,True,1708.8473606854677,1708.847020752728,1,2,
